,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
BAJAJFINSV.NS,144,42.30698630534795,0.001056575822930963,0.19338563527456443,0.033032139901157706,0.031396526681057496,0.0021660743369498908,0.0019291127290705227,0.0019291127290705205,0.24338084605608948,112
BAJAJHLDNG.NS,8,2.067807648251743,0.0,0.13357024216659902,0.0014080121394928799,-0.005191095367836385,0.00043862310158128003,8.222943318565721e-05,8.222943318565725e-05,0.29792129423698777,8
BALKRISIND.NS,143,37.89576160765287,0.0,0.1818428724933723,0.03167910785772973,0.034473293648027876,0.0018443226220302019,0.0018500941930135904,0.0018500941930135895,0.2551055610782668,122
BALRAMCHIN.NS,267,80.4619095125706,0.0007080147267063154,0.22581766482353205,0.06484140774141545,0.06850564324188868,0.0035187422790995005,0.003786808405968051,0.0037868084059680487,0.24811920763335554,158
BANDHANBNK.NS,268,83.68017643596845,0.0003812386989957083,0.2316068022354901,0.06765099403164919,0.06862363114218457,0.003645204085209187,0.003950891286826813,0.003950891286826814,0.2534473430236091,158
BANKBARODA.NS,289,100.0096072757205,0.00015249547959828334,0.25041196577187547,0.08069256219692919,0.07230212466202639,0.004248807451761744,0.004712532985789253,0.004712532985789251,0.2580066497680889,158
BANKINDIA.NS,264,88.69295519156057,7.624773979914167e-05,0.23672971392498443,0.07379197065832645,0.06881962866170219,0.003740686297832484,0.0043095309697204,0.004309530969720403,0.2747197680240222,158
MAHABANK.NS,281,96.13885055519529,0.0009149728775896999,0.24395145106936195,0.07842346185917172,0.07156595476728805,0.004079241944263802,0.004580015069656516,0.004580015069656521,0.26451129605600643,158
BATAINDIA.NS,109,28.220291178457426,0.0003376685619676274,0.17787035217527564,0.021104787967836682,0.02169057027146218,0.0016692691014657665,0.0012325424642458968,0.001232542464245897,0.21764601613710471,92
BAYERCROP.NS,11,2.6586290863447877,0.0,0.1404281256065389,0.0021053631470048842,-0.00401631197909495,0.00045588971551292426,0.00012295548693957745,0.00012295548693957745,0.25215633574424234,11
BERGEPAINT.NS,44,11.38302713886562,0.00011981787682722261,0.15706476629937274,0.008546680893702639,0.004542467289710151,0.0009652997731895803,0.0004991354163757253,0.000499135416375725,0.23014412238205845,38
BDL.NS,221,67.26470444632815,5.446267128510119e-05,0.21508405884398415,0.057540614864534566,0.059588375271643,0.0028995187628717604,0.003360434198507004,0.003360434198507005,0.28135174485454784,158
BEL.NS,324,115.64479348101278,0.006960329390235932,0.2697844538089501,0.08841761914532598,0.07577135096887422,0.004946155634753408,0.005163684674312603,0.005163684674312603,0.2330749259959269,158
BHARATFORG.NS,292,92.69407582417779,0.001274426508071368,0.24038969595067314,0.07255605207530808,0.07157143321017807,0.004028406612600431,0.004237351986532209,0.004237351986532215,0.23576091660149764,158
BHEL.NS,315,114.36132252217054,0.002058688974576825,0.2699577842716848,0.08894313418606441,0.07510991124303659,0.004858254345922099,0.005194375321586445,0.0051943753215864434,0.2445160142319286,158
BPCL.NS,236,76.90345583750626,5.446267128510119e-05,0.22727024117215464,0.06614132796443127,0.06320332052029645,0.003269338609818266,0.0038627251542168646,0.003862725154216868,0.28787697570112997,158
BHARTIARTL.NS,63,16.368898572626364,0.0,0.16066960396340768,0.012667893520653103,0.009553474457676694,0.0010518384908000172,0.0007398186951958675,0.0007398186951958677,0.24562123729751215,55
BIKAJI.NS,31,7.706087879528445,0.0,0.16078996607986998,0.0064076965723810905,0.0022310369017053758,0.0006502201941854198,0.0003742164164595556,0.00037421641645955556,0.26554569483621193,31
BIOCON.NS,270,79.00505190893885,0.00639391760887088,0.223426944104974,0.06040220585926806,0.06557151813362541,0.0036676834740379193,0.0035275542104060997,0.003527554210406096,0.2230034151460233,158
BSOFT.NS,244,70.76794880836876,0.010729146243164935,0.21358505188274568,0.05403547655790663,0.0604970546995654,0.0032699520185179827,0.0031557303269230843,0.0031557303269230796,0.23095094069582708,158
BLUEDART.NS,0,0.0,,,,,,,,0.0,0
BLUESTARCO.NS,34,8.71032544006796,0.0,0.15598755660201802,0.007138645962999458,0.0029482530938410466,0.000694931374958235,0.00041690465215871457,0.0004169046521587146,0.26067341034404257,34
